Unnamed: 0,iteration,prompt_change,time,eval_accuracy,eval_precision,eval_recall,eval_f1,eval_support,eval_macro_f1,eval_weighted_f1,test_set_run,test_accuracy,test_acc_thresholds
0,0,True,137.8588387966156,1.0,[1.],[1.],[1.],[5],1.0,1.0,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
1,1,True,124.37823629379272,1.0,[1. 1.],[1. 1.],[1. 1.],[8 2],1.0,1.0,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
2,2,False,30.810620546340942,1.0,[1. 1.],[1. 1.],[1. 1.],[12  3],1.0,1.0,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
3,3,True,201.19577050209045,1.0,[1. 1.],[1. 1.],[1. 1.],[13  7],1.0,1.0,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
4,4,False,53.21068739891052,1.0,[1. 1.],[1. 1.],[1. 1.],[14 11],1.0,1.0,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
5,5,False,37.55883431434631,1.0,[1. 1.],[1. 1.],[1. 1.],[16 14],1.0,1.0,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
6,6,True,377.7550823688507,0.97,[1.         0.94117647],[0.94736842 1.        ],[0.97297297 0.96969697],[19 16],0.9713349713349714,0.9714753714753714,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
7,7,False,58.53199934959412,0.97,[1.         0.95454545],[0.94736842 1.        ],[0.97297297 0.97674419],[19 21],0.9748585795097424,0.9749528598365806,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
8,8,False,44.80870985984802,0.98,[1.         0.95833333],[0.95454545 1.        ],[0.97674419 0.9787234 ],[22 23],0.9777337951509152,0.9777557864643464,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
9,9,False,33.97674036026001,0.98,[1.   0.96],[0.96153846 1.        ],[0.98039216 0.97959184],[26 24],0.9799919967987194,0.9800080032012805,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
10,10,False,33.98164701461792,0.98,[1.   0.96],[0.96774194 1.        ],[0.98360656 0.97959184],[31 24],0.9815991970558716,0.9818546792785668,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
11,11,False,47.61007761955261,0.98,[1.         0.96428571],[0.96969697 1.        ],[0.98461538 0.98181818],[33 27],0.9832167832167832,0.9833566433566432,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
12,12,False,46.89557147026062,0.98,[1.      0.96875],[0.97058824 1.        ],[0.98507463 0.98412698],[34 31],0.9846008054963278,0.9846226741749128,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
13,13,False,39.76574873924256,0.99,[1.         0.97142857],[0.97222222 1.        ],[0.98591549 0.98550725],[36 34],0.985711369667279,0.9857172017612924,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
14,14,False,37.57326674461365,0.99,[1.         0.97222222],[0.975 1.   ],[0.98734177 0.98591549],[40 35],0.9866286325548226,0.9866761751946278,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
15,15,True,752.2648842334747,0.97,[1.         0.94736842],[0.95454545 1.        ],[0.97674419 0.97297297],[44 36],0.9748585795097424,0.9750471401634192,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
16,16,True,812.4836745262146,0.98,[1.         0.95238095],[0.95555556 1.        ],[0.97727273 0.97560976],[45 40],0.976441241685144,0.9764901526020608,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
17,17,False,39.90999507904053,0.98,[1.         0.95348837],[0.95918367 1.        ],[0.97916667 0.97619048],[49 41],0.9776785714285714,0.9778108465608466,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
18,18,False,50.57399106025696,0.98,[1.         0.95833333],[0.95918367 1.        ],[0.97916667 0.9787234 ],[49 46],0.9789450354609928,0.9789520343411722,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
19,19,False,48.99476337432861,0.98,[1.         0.96078431],[0.96078431 1.        ],[0.98 0.98],[51 49],0.98,0.98,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
20,20,False,41.64727735519409,0.98,[1.         0.96296296],[0.96226415 1.        ],[0.98076923 0.98113208],[53 52],0.9809506531204644,0.980948925288548,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
21,21,False,43.3151159286499,0.98,[1.         0.96491228],[0.96363636 1.        ],[0.98148148 0.98214286],[55 55],0.9818121693121692,0.9818121693121692,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
22,22,False,49.19914937019348,0.98,[1.         0.96666667],[0.96491228 1.        ],[0.98214286 0.98305085],[57 58],0.9825968523002422,0.9826008000842194,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
23,23,False,45.53964710235596,0.98,[1.         0.96774194],[0.96666667 1.        ],[0.98305085 0.98360656],[60 60],0.9833287024173382,0.9833287024173384,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
24,24,True,1190.064573764801,0.99,[0.98412698 1.        ],[1.         0.98412698],[0.992 0.992],[62 63],0.992,0.992,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
25,25,False,53.675644874572754,0.99,[0.98461538 1.        ],[1.         0.98484848],[0.99224806 0.99236641],[64 66],0.9923072371146222,0.9923081475007623,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
26,26,False,29.836788177490234,0.99,[0.98571429 1.        ],[1.         0.98484848],[0.99280576 0.99236641],[69 66],0.992586083804712,0.9925909653956224,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
27,27,False,44.45520734786987,0.99,[0.98630137 1.        ],[1.         0.98529412],[0.99310345 0.99259259],[72 68],0.9928480204342274,0.9928553183725596,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
28,28,False,41.21656346321106,0.99,[0.98648649 1.        ],[1.         0.98611111],[0.99319728 0.99300699],[73 72],0.9931021359592788,0.9931027921175704,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
29,FINAL_ITER_EVAL,False,0.0,0.99,[0.98648649 1.        ],[1.         0.98611111],[0.99319728 0.99300699],[73 72],0.9931021359592788,0.9931027921175704,False,0.96,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
