Unnamed: 0,iteration,prompt_change,time,eval_accuracy,eval_precision,eval_recall,eval_f1,eval_support,eval_macro_f1,eval_weighted_f1,test_set_run,test_accuracy,test_acc_thresholds
0,0,True,77.75786828994751,0.8,[0.75 1.  ],[1.  0.5],[0.85714286 0.66666667],[3 2],0.7619047619047619,0.7809523809523808,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
1,1,False,43.99297833442688,0.9,[0.85714286 1.        ],[1.   0.75],[0.92307692 0.85714286],[6 4],0.8901098901098901,0.8967032967032967,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
2,2,False,48.884573221206665,0.93,[0.88888889 1.        ],[1.         0.85714286],[0.94117647 0.92307692],[8 7],0.9321266968325792,0.9327300150829564,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
3,3,False,51.184473514556885,0.95,[0.91666667 1.        ],[1.         0.88888889],[0.95652174 0.94117647],[11  9],0.948849104859335,0.949616368286445,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
4,4,False,47.92171716690064,0.96,[0.93333333 1.        ],[1.         0.90909091],[0.96551724 0.95238095],[14 11],0.9589490968801312,0.959737274220033,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
5,5,False,63.356196641922,0.97,[0.9375 1.    ],[1.         0.93333333],[0.96774194 0.96551724],[15 15],0.9666295884315907,0.9666295884315907,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
6,6,False,44.98754143714905,0.97,[0.94736842 1.        ],[1.         0.94117647],[0.97297297 0.96969697],[18 17],0.9713349713349714,0.9713817713817714,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
7,7,False,44.487414598464966,0.97,[0.95652174 1.        ],[1.         0.94444444],[0.97777778 0.97142857],[22 18],0.9746031746031746,0.9749206349206349,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
8,8,False,49.594671964645386,0.98,[0.96 1.  ],[1.         0.95238095],[0.97959184 0.97560976],[24 21],0.9776007964161274,0.977733532437365,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
9,9,True,74.60765719413757,0.96,[0.96153846 0.95833333],[0.96153846 0.95833333],[0.96153846 0.95833333],[26 24],0.9599358974358976,0.96,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
10,10,True,56.13530611991882,0.95,[0.93548387 0.95833333],[0.96666667 0.92      ],[0.95081967 0.93877551],[30 25],0.9447975911676144,0.9453450530733905,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
11,11,False,46.42583966255188,0.95,[0.94117647 0.96153846],[0.96969697 0.92592593],[0.95522388 0.94339623],[33 27],0.9493100535060546,0.9499014362151506,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
12,12,False,42.6919207572937,0.95,[0.94594595 0.96428571],[0.97222222 0.93103448],[0.95890411 0.94736842],[36 29],0.9531362653208364,0.9537574177804892,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
13,13,False,49.4648072719574,0.96,[0.94871795 0.96774194],[0.97368421 0.9375    ],[0.96103896 0.95238095],[38 32],0.9567099567099566,0.9570810142238712,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
14,14,False,57.67372274398804,0.96,[0.95121951 0.97058824],[0.975      0.94285714],[0.96296296 0.95652174],[40 35],0.9597423510466988,0.9599570585077832,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
15,15,False,48.26018691062927,0.96,[0.95348837 0.97297297],[0.97619048 0.94736842],[0.96470588 0.96      ],[42 38],0.9623529411764706,0.9624705882352942,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
16,16,False,37.97126531600952,0.96,[0.95652174 0.97435897],[0.97777778 0.95      ],[0.96703297 0.96202532],[45 40],0.9645291417443316,0.9646764255848396,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
17,17,False,42.47435760498047,0.97,[0.95833333 0.97619048],[0.9787234  0.95348837],[0.96842105 0.96470588],[47 43],0.96656346749226,0.9666460268317854,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
18,18,False,51.66941785812378,0.97,[0.95918367 0.97826087],[0.97916667 0.95744681],[0.96907216 0.96774194],[48 47],0.9684070502161624,0.9684140514238704,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
19,19,False,55.96572589874268,0.97,[0.96 0.98],[0.97959184 0.96078431],[0.96969697 0.97029703],[49 51],0.96999699969997,0.97000300030003,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
20,20,False,50.9656937122345,0.97,[0.96153846 0.98113208],[0.98039216 0.96296296],[0.97087379 0.97196262],[51 54],0.9714182016150984,0.971433756335308,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
21,21,False,57.36253261566162,0.97,[0.96226415 0.98245614],[0.98076923 0.96551724],[0.97142857 0.97391304],[52 58],0.9726708074534162,0.972738565782044,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
22,22,False,57.42141652107239,0.97,[0.96296296 0.98360656],[0.98113208 0.96774194],[0.97196262 0.97560976],[53 62],0.9737861864599956,0.973928900605544,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
23,23,False,42.83647131919861,0.97,[0.96491228 0.98412698],[0.98214286 0.96875   ],[0.97345133 0.97637795],[56 64],0.9749146400947668,0.9750121942721762,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
24,24,False,43.80413508415222,0.98,[0.96610169 0.98484848],[0.98275862 0.97014925],[0.97435897 0.97744361],[58 67],0.9759012916907652,0.9760123385386542,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
25,25,False,35.34463620185852,0.98,[0.96825397 0.98507463],[0.98387097 0.97058824],[0.976      0.97777778],[62 68],0.9768888888888888,0.9769299145299144,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
26,26,False,40.35923767089844,0.98,[0.96969697 0.98550725],[0.98461538 0.97142857],[0.97709924 0.97841727],[65 70],0.977758251414136,0.9777826593686882,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
27,27,False,39.72443103790283,0.98,[0.97142857 0.98571429],[0.98550725 0.97183099],[0.97841727 0.9787234 ],[69 71],0.9785703352211848,0.9785725219216724,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
28,28,False,40.63011121749878,0.98,[0.97260274 0.98611111],[0.98611111 0.97260274],[0.97931034 0.97931034],[72 73],0.9793103448275862,0.9793103448275862,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
