Unnamed: 0,iteration,prompt_change,time,eval_accuracy,eval_precision,eval_recall,eval_f1,eval_support,eval_macro_f1,eval_weighted_f1,test_set_run,test_accuracy,test_acc_thresholds
0,0,True,125.93948602676392,1.0,[1. 1.],[1. 1.],[1. 1.],[1 4],1.0,1.0,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
1,1,True,227.215918302536,1.0,[1. 1.],[1. 1.],[1. 1.],[4 6],1.0,1.0,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
2,2,False,41.47628784179688,1.0,[1. 1.],[1. 1.],[1. 1.],[9 6],1.0,1.0,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
3,3,True,243.45789051055908,1.0,[1. 1.],[1. 1.],[1. 1.],[11  9],1.0,1.0,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
4,4,False,58.25389862060547,1.0,[1. 1.],[1. 1.],[1. 1.],[12 13],1.0,1.0,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
5,5,False,56.94406819343567,1.0,[1. 1.],[1. 1.],[1. 1.],[15 15],1.0,1.0,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
6,6,False,44.78245449066162,1.0,[1. 1.],[1. 1.],[1. 1.],[18 17],1.0,1.0,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
7,7,False,42.050437927246094,1.0,[1. 1.],[1. 1.],[1. 1.],[20 20],1.0,1.0,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
8,8,True,478.4422895908356,1.0,[1. 1.],[1. 1.],[1. 1.],[23 22],1.0,1.0,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
9,9,False,44.80362200737,1.0,[1. 1.],[1. 1.],[1. 1.],[25 25],1.0,1.0,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
10,10,True,553.9112749099731,1.0,[1. 1.],[1. 1.],[1. 1.],[28 27],1.0,1.0,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
11,11,False,46.07077097892761,1.0,[1. 1.],[1. 1.],[1. 1.],[30 30],1.0,1.0,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
12,12,False,39.92514491081238,1.0,[1. 1.],[1. 1.],[1. 1.],[34 31],1.0,1.0,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
13,13,False,40.74176597595215,1.0,[1. 1.],[1. 1.],[1. 1.],[37 33],1.0,1.0,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
14,14,False,38.39477300643921,1.0,[1. 1.],[1. 1.],[1. 1.],[41 34],1.0,1.0,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
15,15,False,37.924323081970215,1.0,[1. 1.],[1. 1.],[1. 1.],[44 36],1.0,1.0,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
16,16,False,41.659472942352295,1.0,[1. 1.],[1. 1.],[1. 1.],[47 38],1.0,1.0,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
17,17,False,47.6566858291626,1.0,[1. 1.],[1. 1.],[1. 1.],[50 40],1.0,1.0,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
18,18,False,48.57499742507935,1.0,[1. 1.],[1. 1.],[1. 1.],[52 43],1.0,1.0,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
19,19,False,50.39073300361633,1.0,[1. 1.],[1. 1.],[1. 1.],[52 48],1.0,1.0,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
20,20,False,60.392359018325806,1.0,[1. 1.],[1. 1.],[1. 1.],[55 50],1.0,1.0,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
21,21,False,56.277026414871216,1.0,[1. 1.],[1. 1.],[1. 1.],[56 54],1.0,1.0,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
22,22,False,55.90260028839111,1.0,[1. 1.],[1. 1.],[1. 1.],[56 59],1.0,1.0,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
23,23,False,45.41959261894226,1.0,[1. 1.],[1. 1.],[1. 1.],[60 60],1.0,1.0,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
24,24,False,38.19153428077698,1.0,[1. 1.],[1. 1.],[1. 1.],[64 61],1.0,1.0,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
25,25,False,47.00740933418274,1.0,[1. 1.],[1. 1.],[1. 1.],[66 64],1.0,1.0,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
26,26,False,43.44305992126465,1.0,[1. 1.],[1. 1.],[1. 1.],[69 66],1.0,1.0,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
27,27,False,54.05050659179688,1.0,[1. 1.],[1. 1.],[1. 1.],[71 69],1.0,1.0,False,0.0,"{0.7: 'NA', 0.8: 'NA', 0.9: 'NA'}"
